Arts_and_Entertainment,Autos_and_Vehicles,Beauty_and_Fitness,Books_and_Literature,Business_and_Industrial,Computers_and_Electronics,Finance,Food_and_Drink,Games,Health,Hobbies_and_Leisure,Home_and_Garden,Internet_and_Telecom,Jobs_and_Education,Law_and_Government,News,Online_Communities,People_and_Society,Pets_and_Animals,Real_Estate,Reference,Science,Shopping,Sports,Travel
68,54,60,36,51,38,60,43,72,51,50,49,47,76,48,52,36,73,51,54,50,34,49,52,48
64,54,62,36,50,37,60,46,71,50,48,47,50,76,49,49,36,78,52,56,48,33,47,55,52
70,53,60,36,51,37,65,46,71,52,51,46,49,78,58,51,36,84,52,54,53,36,49,54,48
62,48,56,46,51,37,61,45,64,54,48,48,43,73,61,53,35,78,55,46,57,45,46,60,42
68,45,54,47,50,37,57,46,65,56,48,46,42,74,57,50,34,78,58,44,58,45,50,58,39
66,43,55,46,47,36,55,49,69,50,47,45,44,67,51,49,31,76,52,42,51,40,53,53,35
67,46,56,47,46,41,55,52,76,45,53,48,45,73,45,46,34,80,52,40,52,36,60,56,38
66,44,65,45,48,36,61,46,67,50,45,44,42,74,56,49,34,80,51,49,50,37,46,53,40
63,45,60,48,48,36,64,47,63,52,46,43,45,70,56,48,36,78,53,48,54,43,45,61,41
63,49,60,44,49,34,61,43,65,52,42,45,43,69,54,49,33,81,54,47,55,40,43,54,42
66,48,61,48,48,36,64,43,64,52,45,47,46,70,54,51,33,84,54,48,54,44,43,55,41
61,46,60,42,46,32,52,44,64,48,46,45,46,65,49,46,31,73,50,47,51,39,43,50,41
61,47,56,35,46,32,55,41,64,46,45,41,45,73,47,47,32,85,47,47,45,33,43,61,44
69,52,59,37,48,34,58,47,63,49,46,47,48,82,45,46,33,91,54,52,49,30,46,58,48
64,53,67,39,49,35,58,49,63,52,46,48,44,83,52,47,31,100,52,51,50,33,47,54,46
62,48,57,45,46,34,55,47,59,53,44,43,41,77,57,48,33,89,56,43,56,42,47,61,40
62,45,57,45,48,33,55,47,60,53,45,44,40,77,55,46,33,92,53,42,52,40,46,59,37
65,43,58,48,45,33,53,52,61,48,46,42,41,75,49,46,35,92,52,38,51,38,54,59,37
66,43,59,46,45,36,54,56,69,47,51,42,42,77,46,44,35,94,50,36,49,34,61,54,37
73,54,77,49,52,38,72,66,70,60,54,55,53,84,63,54,43,89,62,54,62,41,57,69,47
71,56,72,50,52,36,72,62,64,60,53,54,48,88,58,53,42,86,58,56,62,45,55,62,47
69,59,73,55,54,38,72,62,64,61,53,58,52,82,58,55,40,84,60,56,63,45,56,65,50
72,58,78,53,54,39,73,66,67,63,60,60,55,82,59,57,42,88,62,61,62,43,59,68,49
74,58,73,49,51,35,58,63,64,62,55,57,56,80,56,53,39,84,58,54,59,40,57,64,49
71,57,76,43,50,35,63,61,66,57,55,57,53,83,51,51,37,84,56,58,54,35,56,66,52
76,62,76,44,52,36,65,69,66,59,57,61,57,87,49,50,39,95,58,58,55,32,57,65,57
