Sale,Discount,coupon,Promotion,Special_offer,Bargain,Deal,Clearance,Flash_sale,Apparel,Electronics,Home_goods,Appliance,Furniture,Beauty_product,Shopping,Shopping_spree,Retail_therapy,Shopping_experience,Impulse_buying,Comparison_shopping,Brand_loyalty,Loyalty_card,Customer_satisfaction,customer_opinion,Payment_options,Credit_card,Cash_transaction,Online_payment,Retail_store,Brick-and-mortar,Store_layout,E-commerce,webshop,Online_shopping,Online_shop,Online_store,Customer_service,Customer_support,Returns_and_exchanges,Holiday_sales,Black_Friday,Cyber_Monday,Sales_events,Clearance_events,Anniversary_sale,Retail,purchase_+_purchasing,acquire,Buy,procure,consume_,Shopping_cart,shopping_bag
36,63,25,56,63,63,88,50,12,74,58,13,62,75,46,64,63,33,16,0,28,31,18,65,18,27,33,8,26,69,13,38,45,12,22,29,41,10,23,32,17,1,0,59,11,3,74,74,47,47,27,19,55,52
37,66,32,66,74,72,97,52,23,78,67,14,60,75,44,82,44,10,14,20,49,26,20,62,0,19,33,6,24,65,21,80,39,3,32,35,49,9,23,50,81,19,6,48,0,1,77,76,46,64,37,21,61,50
35,69,41,78,84,71,81,54,20,90,73,15,60,66,55,84,74,35,23,17,67,27,18,51,17,27,34,7,29,77,27,70,37,0,33,38,55,9,25,39,73,0,0,54,13,2,78,77,42,71,36,16,60,43
39,67,28,68,67,70,79,53,18,66,65,12,67,85,51,51,47,30,20,26,35,26,12,63,0,23,34,8,27,59,0,50,37,9,20,29,43,10,25,40,24,0,0,43,0,2,75,74,48,54,32,21,53,51
39,65,26,76,61,67,77,56,15,65,55,12,66,82,35,55,33,12,12,12,23,27,17,67,31,19,35,6,26,54,15,62,40,6,20,27,42,10,24,40,11,0,0,50,0,2,68,74,49,48,33,20,51,44
39,64,25,68,63,65,87,50,19,66,50,12,65,77,52,58,41,0,13,39,29,34,0,68,19,25,35,10,26,58,34,41,36,11,21,29,42,9,23,39,13,0,0,52,0,2,69,72,50,48,39,20,50,48
39,59,25,65,60,65,78,49,23,59,47,12,58,74,53,56,35,19,25,16,25,38,14,53,0,25,35,10,26,55,12,45,38,0,19,31,40,9,26,40,30,0,0,57,8,2,69,74,52,46,31,21,50,53
40,63,27,66,58,66,67,45,15,64,48,12,66,74,55,58,38,20,6,10,31,34,18,67,0,22,35,6,25,57,0,59,36,5,20,31,40,10,22,30,18,0,0,73,0,3,68,74,43,50,43,22,52,60
41,71,29,73,64,69,58,47,16,65,54,13,70,75,47,59,35,28,11,14,30,18,14,62,60,31,36,2,28,63,11,44,37,7,19,32,43,11,27,31,25,0,0,48,0,4,73,75,40,56,43,21,57,48
44,73,29,68,76,68,47,52,22,70,52,15,73,84,56,64,55,0,14,0,28,13,25,58,65,30,39,6,27,59,0,45,33,12,20,35,44,11,29,29,73,0,0,65,0,10,75,73,40,52,35,21,52,75
41,71,31,72,77,70,45,58,22,69,53,16,71,83,51,62,54,32,12,12,26,20,12,71,25,33,38,9,28,66,11,39,32,9,21,37,43,11,29,30,79,0,0,71,0,3,77,74,38,55,42,21,52,64
37,61,28,62,76,63,56,52,17,80,47,14,63,70,65,55,45,29,17,51,22,48,15,50,0,20,35,4,28,60,14,48,34,5,21,33,40,10,27,28,19,0,0,65,6,2,72,70,40,51,39,26,52,62
